Pays,Production_MT,Importation_MT,Exportation_MT,Disponibilité_interieure_MT,Nourriture_MT,Distance_France,PIB_millions$,Political_Stability,Population_1000hab,Easy_Doing_Business_Score,Score_Starting_Business_Score
Oman,7,126,16,114,101,5620.005,70598.02628,0.75,4665.928,68.349447371515,91.11729772323
Pakistan,1281,2,4,1282,1218,5932.586,302709.7234,-2.41,207906.209,52.503169208388,75.849405643669
Panama,198,20,0,192,139,8671.104,62202.7252,0.39,4106.769,64.617184245117,91.91256141266
Paraguay,45,1,4,41,41,10168.73,38997.12981,0,6867.061,56.966403272098,75.248860152164
Pérou,1465,60,1,1523,424,10268.11,211007.9523,-0.26,31444.298,67.396586630297,78.600773332305
Philippines,1272,249,2,1521,1459,10751.64,328480.7381,-1.18,105172.925,59.39851738785,67.62793260402
Pologne,2351,55,1025,1156,1150,1368.178,526504.2336,0.52,37953.18,77.649190034668,82.752840150967
Portugal,361,82,44,325,315,1452.86,221357.8747,1.12,10288.527,76.66432529492,90.999828279438
Fédération de Russie,4444,226,115,4556,4509,2494.316,1574199.379,-0.64,145530.082,75.440942964416,93.024531538605
Rwanda,19,0,0,19,18,6253.41,9252.814353,0.09,11980.961,68.65868143484,87.17050406203
Samoa,0,17,0,15,13,16011.92,825.065062,1.18,195.352,60.043649692029,92.490805467132
Sénégal,77,0,0,77,73,4217.159,20996.56985,-0.05,15419.355,50.30009116824,86.069911747083
Sierra Leone,17,14,0,30,30,4724.351,3739.577962,-0.04,7488.423,47.219182294841,91.152373341825
Slovénie,72,20,29,52,51,965.7366,48589.10004,0.87,2076.394,75.49374523298,94.613076204762
Îles Salomon,0,6,0,3,3,15178.2,1483.798754,0.2,636.039,55.115705172006,85.480203075501
Afrique du Sud,1667,514,63,2118,2035,9353.552,349006.6896,-0.28,57009.756,64.861404713609,79.964568382084
Espagne,1515,205,212,1497,1418,1054.656,1312539.279,0.28,46647.428,77.630753760046,86.697865585845
Sri Lanka,192,0,2,192,164,8526.015,87428.11756,-0.07,21128.032,59.610396751033,87.519900304651
Soudan,67,2,0,69,65,4612.387,122072.66,-1.98,40813.397,44.741605452142,73.168616801597
Suriname,10,18,5,25,18,7196.987,3392.950425,0.13,570.496,47.482266256182,61.187424778464
Suède,157,84,23,187,164,1545.797,541018.7498,0.98,9904.896,82.150711595811,94.64026781946
Suisse,91,51,4,133,133,436.0778,704478.517,1.26,8455.804,76.108420864005,88.391099023999
Tadjikistan,2,38,0,40,39,5291.823,7536.403147,-0.67,8880.268,53.436890371953,86.862830355449
Thaïlande,1676,2,796,881,896,9454.805,456356.8128,-0.75,69209.81,73.21496966132,84.662790316571
Togo,40,16,0,54,54,4753.381,6387.424244,-0.88,7698.474,47.797273854727,81.713398262204
Trinité-et-Tobago,61,23,0,76,75,7225.325,23180.10775,0.28,1384.059,60.929760264856,86.827593999087
Tunisie,213,0,4,195,195,1483.828,39802.14307,-1.02,11433.443,64.996946064838,81.567851242735
Ouganda,65,0,0,66,62,6128.938,31578.95983,-0.57,41166.588,57.373161831996,70.187555506676
Ukraine,1211,121,273,1009,1006,2025.144,112190.3286,-1.87,44487.709,66.092007111123,90.774305212732
Uruguay,33,3,3,33,31,10972.42,64233.96686,1.05,3436.641,60.470785685734,89.793229510449
Vanuatu,1,4,0,3,3,16346.35,880.046992,0.7,285.51,60.902396182266,81.236410233551
Zambie,49,12,1,60,58,7604.841,25868.16149,0.15,16853.599,60.057025623989,82.858607541882
Zimbabwe,69,6,0,76,67,7949.676,22040.9023,-0.71,14236.595,48.071184150594,48.835715251345
