Country,Production_MT,Importation_MT,PIB_US_$_M,Political_stability,inflation_moy,pop_2017,part_protein_Volaille/total,distance_France,Ease_of_doing_business_score
Peru,1465,60,211007.9523,-0.26,3.0161085,31444298,21.76,10268.11,67.396586630297
Poland,2351,55,526504.2336,0.52,4.31490033333333,37953180,13.34,1368.178,77.649190034668
Portugal,361,82,221357.8747,1.12,1.53896825,10288527,11.1,1452.86,76.66432529492
Russian Federation,4444,226,1574199.379,-0.64,2.7042755,145530082,10.45,2494.316,75.440942964416
Rwanda,19,0,9252.814353,0.09,13.23848175,11980961,0.87,6253.41,68.65868143484
Samoa,0,17,825.065062,1.18,1.37589041666667,195352,24.62,16011.92,60.043649692029
Saudi Arabia,616,722,688586.0944,-0.58,-0.821562333333333,33101179,15.38,4694.5,59.444218160237
Sierra Leone,17,14,3739.577962,-0.04,19.5010455,7488423,2.46,4724.351,47.219182294841
Slovenia,72,20,48589.10004,0.87,2.22783966666667,2076394,8.68,965.7366,75.49374523298
South Africa,1667,514,349006.6896,-0.28,6.90583483333333,57009756,18.36,9353.552,64.861404713609
Spain,1515,205,1312539.279,0.28,1.23140166666667,46647428,11.61,1054.656,77.630753760046
Sri Lanka,192,0,87428.11756,-0.07,11.3469564166667,21128032,4.48,8526.015,59.610396751033
Sudan,67,2,122072.66,-1.98,34.92217375,40813397,0.62,4612.387,44.741605452142
Suriname,10,18,3392.950425,0.13,33.0077143333333,570496,15.99,7196.987,47.482266256182
Sweden,157,84,541018.7498,0.98,2.14309058333333,9904896,6.63,1545.797,82.150711595811
Switzerland,91,51,704478.517,1.26,0.418670166666667,8455804,6.7,436.0778,76.108420864005
Tajikistan,2,38,7536.403147,-0.67,9.24138816666667,8880268,1.97,5291.823,53.436890371953
Thailand,1676,2,456356.8128,-0.75,0.00650633333333332,69209810,7.28,9454.805,73.21496966132
Togo,40,16,6387.424244,-0.88,-1.21328816666667,7698474,4.34,4753.381,47.797273854727
Trinidad and Tobago,61,23,23180.10775,0.28,2.94299233333333,1384059,22.09,7225.325,60.929760264856
Tunisia,213,0,39802.14307,-1.02,5.62916325,11433443,6.27,1483.828,64.996946064838
Uganda,65,0,31578.95983,-0.57,10.2058321666667,41166588,1.14,6128.938,57.373161831996
Ukraine,1211,121,112190.3286,-1.87,12.9061675,44487709,8.95,2025.144,66.092007111123
United Arab Emirates,48,433,385605.5069,0.62,1.21213891666667,9487203,10.83,5249.535,77.43435455867
United Kingdom,1814,779,2699016.715,0.33,2.26115141666667,66727461,13.4,342.9475,83.34036984824
United States of America,21914,123,19479623,0.34,-0.195677833333333,325084756,17.64,5838.157,83.667646844408
Uruguay,33,3,64233.96686,1.05,2.84227275,3436641,3.56,10972.42,60.470785685734
Vanuatu,1,4,880.046992,0.7,6.884776,285510,6.24,16346.35,60.902396182266
Zambia,49,12,25868.16149,0.15,5.77302383333333,16853599,2.06,7604.841,60.057025623989
Zimbabwe,69,6,22040.9023,-0.71,2.534985,14236595,4.07,7949.676,48.071184150594
