Pays,Production_MT,Importation_MT,Disponibilite_interieure_MT,Nourriture_MT,distance_France,PIB_US_$_M,Political_stability,pop_2012,pop_2017,Ease_of_doing_business_score,Score_Starting _a_business,Dispo_alim(Kcal/personne/jour)_Total_General,Dispo_proteines_quantite(g/personne/jour)_Total_General,Dispo_alim_quantite(kg/personne/an)_Viande_Volailles,Disp_alim(Kcal/personne/jour)_Viande_Volailles,Dispo_proteines_quantite(g/personne/jour)_Viande_Volailles,Importation_nb_tete,Importation-tonnes,Importation_$USD,January,February,March,April,May,June,July,August,September,October,November,December,Apport_moyen_proteine(g/capita/day),Apport_moyen_proteine_animal(g/capita/day),pop_evol_12-17,part_protein_Volaille/total,volaille_import/nb_hab,volaille_prod/hab,volaille_nourriture/hab
32,Dominica,0,4,4,3,6826.396,520.7,1.2,70965,71458,61.235746780885,89.264974357012,2973,82.08,40.79,174,13.31,85,5,161000,-0.440331,-1.164666,-0.983577,-0.514859,-0.686975,0.235699,0.325145,-0.071949,-0.116864,0.16174,0.14395,0.413595,81.3,46.3,0.694708659198196,16.22,0.0000559769375017493,0,0.000041982703126312
33,Dominican Republic,339,42,375,371,7178.52,79998.04598,0.16,9930916,10513104,57.550130267453,82.519325378269,2870,63.92,35.17,123,10.86,1906,0,3178000,-2.029238,0.259548,0.922523,2.489972,2.515006,1.826553,1.67979,2.145115,3.671673,3.776458,5.221773,5.521886,64,32,5.86237966366849,16.99,0.00000399501422225063,0.0000322454719367372,0.0000352892922965472
34,Ecuador,340,0,341,324,9367.098,104295.862,-0.07,15474101,16785361,57.377114249247,69.186514854819,2560,62.78,20.28,87,6.46,3045,149,16405000,1.484801,1.204135,1.281141,1.835242,0.946855,0.124271,-0.329638,0.248502,-0.118179,-0.021559,-0.431653,-0.239021,65.7,30.3,8.47390100400663,10.29,0,0.0000202557454677323,0.0000193025339163096
35,El Salvador,136,16,131,131,8984.298,24979.19,-0.26,6237923,6388126,62.65252506004,78.882623292722,2662,75.6,23.45,82,7.14,4185,251,6402000,-3.381316,-2.12874,-1.218684,-0.416731,-0.351632,0.394137,1.286805,0.787638,1.302695,1.187813,2.222235,2.491332,76,26.3,2.40790083494137,9.44,0.00000250464690270668,0.0000212894986730068,0.0000205067965159109
36,Estonia,20,21,29,28,1859.091,26924.3851,0.65,1323159,1319390,80.828593984749,94.623643398917,3138,101.19,21,85,7.17,2782,118,1585000,3.685684,4.135307,3.980921,4.482372,6.153047,6.631031,5.299103,6.38307,5.822606,7.921881,7.778965,6.362662,103,64,-0.28484860851946,7.09,0.0000159164462365184,0.0000151585202252556,0.0000212219283153579
37,Ethiopia,14,1,14,14,5582.502,76794.51691,-1.68,92726985,106399924,44.06310965901,55.961487479233,2485,73.51,0.71,2,0.24,2,2,91000,5.426696,8.030169,11.189118,12.998267,10.215281,9.382819,11.597831,10.690789,10.797936,13.902439,15.767635,15.410385,65.7,6,14.7453721265714,0.33,0.0000000093985029538179,0.000000131579041353451,0.000000131579041353451
38,Fiji,23,3,26,25,16595.08,5353.491805,0.64,865069,877459,60.984856432669,73.127442662532,2773,70.7,25.63,89,8.62,415,0,1772000,7.089552,4.259259,3.052729,-3.481288,-4.811899,-5.980651,-6.161972,-5.193662,-4.203936,-3.734062,-3.041475,-2.752294,70.7,28,1.43225569289849,12.19,0.00000341896316523051,0.0000262120509334339,0.0000284913597102543
39,Finland,129,16,111,103,1911.138,255647.9799,1.08,5414770,5511371,79.860022607856,92.39359896538,3337,118.22,18.85,68,7.93,310,16,1212000,-2.380952,-0.493952,-1.670861,-1.726734,-0.975114,-1.017294,-1.518834,-0.061143,-0.40783,-0.34581,-0.282258,-0.070522,117.3,74.3,1.78402776110527,6.71,0.00000290308890473895,0.0000234061542944578,0.000018688634824257
40,France,1750,506,1573,1485,278.1876,2595151.045,0.28,63564221,64842509,76.20155734382,93.269509600164,3510,109.36,22.2,90,8.67,24937,3883,26061000,1.371921,1.693047,0.81714,0.767544,0.40402,0.823903,0.743531,0.633413,1.124714,1.663347,1.580988,1.439492,108.7,63.7,2.01101811662256,7.93,0.0000078035228402405,0.0000269884683209899,0.0000229016431180971
41,Gabon,4,76,78,61,5438.787,14929.64648,-0.1,1749682,2064823,43.043146815659,74.089929831845,2640,80.69,29.39,99,10.61,245,7,317000,-0.551498,0.275392,-0.138968,0.093554,1.044406,1.113441,1.719548,-0.88649,-2.335815,-3.791672,-2.897337,-2.23581,80.3,38.3,18.0113300588335,13.15,0.000036807028980208,0.00000193721205158989,0.0000295424837867459
42,Gambia,2,16,8,8,4308.25,1504.954083,-0.08,1905013,2213889,47.735008812359,69.374480012066,2536,64.79,8.07,27,2.75,3,2,1000,9.997812,9.821543,9.592677,9.567723,9.162439,8.998327,8.657342,8.343024,8.090097,7.850039,7.215366,7.29998,64.7,15.7,16.2138526088798,4.24,0.00000722710126840144,0.00000090338765855018,0.00000361355063420072
43,Georgia,22,51,61,61,3373.349,16242.68708,-0.37,4064106,4008716,80.793507630241,97.830314530317,2783,74.95,15.27,51,5.18,1776,240,3364000,3.293421,5.483962,5.357626,7.578864,8.342415,9.54116,7.102567,6.157957,6.460699,7.366644,7.494163,7.327809,75,29.3,-1.36290736511302,6.91,0.0000127222781558983,0.00000548804155744632,0.0000152168425001921
44,Germany,1514,842,1739,1609,439.8984,3690849.153,0.59,80972628,82658409,79.428672782228,82.202748316799,3542,104.05,18.05,67,7.39,185661,104106,193759000,3.2,4.468719,2.274975,1.47929,2.184707,2.392822,2.284012,2.694611,2.988048,3.784861,2.758621,2.639296,104.3,63,2.0819146440449,7.1,0.0000101865014120947,0.0000183163457694909,0.0000194656541235871
45,Ghana,60,151,211,211,4827.292,60403.02757,0.09,25996450,29121465,57.839628926912,83.730577024746,3000,60.97,7.19,16,2.25,10731,429,8247000,6.978528,7.164634,7.261725,6.626955,6.328182,6.15942,7.231556,7.327905,8.118361,8.212928,7.865169,7.994078,59.7,14.7,12.020929780797,3.69,0.00000518517869894252,0.00000206033590686458,0.00000724551460580709
46,Greece,246,79,178,162,2098.726,199844.4184,-0.07,10781125,10569450,67.173090095032,90.684839722612,3373,105.99,15.31,53,6.32,3691,372,5093000,1.081554,1.383953,1.558486,1.856604,-0.132192,-0.788402,-1.470666,-1.129547,0.26944,0.023863,0.710091,0.481082,106,58,-1.9633850827256,5.96,0.00000747437189257719,0.0000232746263996707,0.0000153271929949051
47,Grenada,1,7,8,5,7120.287,1125.685185,1.01,107446,110874,53.388707087885,87.024136094149,2494,73.41,46.54,195,15.9,148,11,353000,-1.05177,-0.126277,0.356125,-0.033196,-0.091186,-0.115908,0.956769,1.11846,1.297655,1.548134,1.390529,1.21181,71.3,39.7,3.19043984885431,21.66,0.0000631347295127803,0.00000901924707325432,0.0000450962353662716
48,Guatemala,235,129,357,348,9001.048,71653.75655,-0.65,15270771,16914970,60.956307500912,77.612853070906,2536,70.99,19.67,68,5.85,10484,629,14151000,5.595599,5.878651,7.084124,7.482778,7.608832,9.552388,11.931783,10.4,9.441399,9.353391,9.801921,12.349252,69,21.7,10.766967823694,8.24,0.00000762638065571503,0.000013893019023977,0.0000205734920014638
49,Guinea,13,37,50,49,4691.556,10324.66826,-0.7,10652031,12067519,45.88272688687,77.57945130913,2754,56.4,2.22,7,0.78,1693,68,1588000,12.776873,12.640449,12.805698,13.165091,13.239174,13.58679,13.885089,14.26957,14.05253,13.961182,14.259611,14.465363,57.3,11,13.2884329758334,1.38,0.00000306608176875462,0.00000107727197280568,0.00000406048666672909
50,Guinea-Bissau,3,4,4,4,4440.633,1350.177012,-0.5,1604979,1828145,42.997944873699,73.296512115963,2233,43.88,2.16,7,0.74,35,1,20000,0.248092,0.923406,3.200632,2.961655,1.54009,0.475421,-0.494911,-2.029012,-0.575513,-2.022534,-2.85423,-4.113515,43,9,13.9046056054316,1.69,0.00000218801025082803,0.00000164100768812102,0.00000218801025082803
51,Haiti,9,89,98,98,7361.197,15237.36099,-0.67,10250930,10982366,37.736523044462,33.610222326028,2150,50.18,8.97,31,2.77,1748,0,7700000,10.378242,10.403818,10.297602,10.513696,10.815822,11.170427,11.412803,11.656121,11.913348,11.703191,11.452194,11.42121,49.3,9.7,7.13531357642672,5.52,0.00000810390037993635,0.000000819495544038507,0.00000892339592397485
52,Honduras,193,12,205,205,8810.234,23136.24805,-0.56,8640691,9429013,54.168470472219,63.900320738209,2659,61.16,21.58,93,6.94,1478,97,5886000,-0.462072,0.422589,0.768049,1.543805,1.114527,1.148106,1.375095,1.489687,1.149425,2.081727,3.280587,5.096525,61.7,20.7,9.12336756400617,11.35,0.00000127266766945809,0.0000204687383504509,0.000021741406019909
